date_de_tirage;jour_de_la_semaine_de_tirage;jour_de_tirage;mois_de_tirage;annee_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;combinaison_gagnant_second_tirage_en_ordre_croissant;nombre_de_gagnant_au_rang_1_second_tirage;rapport_du_rang1_second_tirage;nombre_de_gagnant_au_rang_2_second_tirage;rapport_du_rang2_second_tirage;nombre_de_gagnant_au_rang_3_second_tirage;rapport_du_rang3_second_tirage;nombre_de_gagnant_au_rang_4_second_tirage;rapport_du_rang4_second_tirage;numero_jokerplus
2025-04-02;Mercredi;2;4;2025;45;5;34;15;4;9;4-5-15-34-45+9;1;12000000.0;9;23201.0;58;878.7;382;481.2;1923;57.1;17589;22.4;29032;10.5;264311;4.6;413375;2.2;10;20000.0;N 3334 9630, Q 3192 8297, G 7245 7504, L 0531 0769, D 8084 2751, W 7661 7493, D 9488 6613, W 7626 9422, T 6158 8433, H 4547 7336;13;18;21;41;42;13-18-21-41-42;0;146433.0;264;551.5;12367;30.2;183987;3.0;5807884
2025-03-31;Lundi;31;3;2025;3;4;28;16;38;4;3-4-16-28-38+4;0;11000000.0;1;176773.8;47;918.0;332;468.7;2057;45.2;16630;20.1;28029;9.2;241763;4.2;341427;2.2;10;20000.0;K 1906 7108, T 2990 2618, E 9177 7161, P 3999 0594, M 8275 0689, O 7066 0394, B 2197 4272, R 3770 2965, W 7623 9078, M 6985 4702;7;20;23;36;43;7-20-23-36-43;1;124431.0;214;607.5;10160;32.9;148875;3.0;1886728
2025-03-29;Samedi;29;3;2025;14;31;41;7;12;5;7-12-14-31-41+5;0;10000000.0;3;91296.2;102;655.3;690;349.4;3924;36.7;30877;16.7;53567;7.5;422437;3.7;619597;2.2;10;20000.0;U 8721 8502, A 4544 9183, I 3703 2291, J 8729 3403, R 2917 4371, S 2887 4184, I 7488 3200, B 8710 0462, U 1452 3312, P 6989 4352;2;7;12;20;33;2-7-12-20-33;5;39983.0;646;255.6;24218;17.5;291226;3.0;3969756
2025-03-26;Mercredi;26;3;2025;4;41;21;19;11;7;4-11-19-21-41+7;0;9000000.0;2;82963.1;82;493.8;513;284.7;3656;23.8;21569;14.5;45173;5.4;275144;3.5;510141;2.2;10;20000.0;I 3933 1001, P 2273 4482, I 8035 7957, V 6133 7026, K 2344 0873, G 1602 5141, C 2354 9807, C 6496 3362, D 4884 5234, H 8894 9968;8;9;12;26;32;8-9-12-26-32;0;134537.0;343;328.0;14875;19.4;194339;3.0;1273454
2025-03-24;Lundi;24;3;2025;35;29;47;46;21;1;21-29-35-46-47+1;0;8000000.0;2;84794.4;12;3449.3;255;585.4;845;105.5;10684;30.0;14136;17.6;170651;5.7;235455;2.2;10;20000.0;A 1753 4901, U 1154 9519, D 3997 4233, I 0919 5063, B 0070 2405, F 0060 2019, W 7523 1030, H 0571 0867, S 0524 2785, I 9691 8920;3;13;18;33;34;3-13-18-33-34;0;112562.0;237;451.9;11146;24.7;147171;3.0;234521
2025-03-22;Samedi;22;3;2025;3;49;36;20;23;6;3-20-23-36-49+6;0;7000000.0;2;129261.3;51;1237.2;467;487.3;2194;61.9;21233;23.0;32629;11.6;322232;4.6;461212;2.2;10;20000.0;E 5055 0682, O 5780 6104, G 0703 4225, S 9599 9083, E 7857 7218, T 1075 2962, O 8829 5393, C 1200 2212, M 8907 4785, M 5857 6459;9;12;28;31;47;9-12-28-31-47;1;180269.0;474;341.0;18910;21.9;247458;3.0;2678705
2025-03-19;Mercredi;19;3;2025;15;14;3;45;12;3;3-12-14-15-45+3;0;6000000.0;0;176186.4;58;3779.1;384;403.9;2581;35.9;18554;17.9;34008;7.6;265039;3.8;365983;2.2;10;20000.0;H 1195 4138, F 3011 4630, T 4942 8150, W 7586 7825, M 9797 7756, C 0002 6810, G 5265 5337, V 1488 9314, U 0788 2548, A 0223 4949;1;13;20;23;44;1-13-20-23-44;1;127318.0;357;315.2;13664;21.1;176705;3.0;6088749
2025-03-17;Lundi;17;3;2025;16;32;26;9;20;7;9-16-20-26-32+7;0;5000000.0;0;125878.1;66;2372.7;348;318.4;2288;28.9;14015;17.0;30084;6.1;192119;3.8;395870;2.2;10;20000.0;V 8148 6770, V 1256 6086, R 6312 0246, E 8288 2749, K 8253 1104, F 3077 5677, M 4454 8205, S 2529 3746, G 8586 2878, P 7457 7633;1;15;24;43;47;1-15-24-43-47;0;107300.0;158;753.8;7638;40.0;120055;3.0;6451303
2025-03-15;Samedi;15;3;2025;27;6;31;21;40;7;6-21-27-31-40+7;0;4000000.0;2;105274.9;55;934.3;446;415.5;3187;34.7;20680;19.2;48354;6.4;308945;3.9;649456;2.2;10;20000.0;D 8452 0543, M 3147 6344, O 5481 6618, D 3017 5973, U 3673 8863, L 8599 8129, W 7573 5264, I 1232 7640, R 2242 2131, L 6354 8406;4;7;16;30;47;4-7-16-30-47;4;43776.0;423;398.3;16941;25.5;226678;3.0;9586789
2025-03-12;Mercredi;12;3;2025;21;10;24;32;16;7;10-16-21-24-32+7;0;3000000.0;1;146041.4;61;584.3;394;326.3;2728;28.1;17260;16.0;36538;5.8;228145;3.7;473005;2.2;10;20000.0;C 3469 8002, P 2645 3472, J 7937 6266, E 2161 0423, C 4422 0538, C 4630 0645, C 8565 3701, S 0639 6386, Q 9325 7314, D 5322 2260;10;13;19;20;26;10-13-19-20-26;5;24676.0;552;164.3;17207;13.5;193075;3.0;4106604
2025-03-10;Lundi;10;3;2025;23;24;13;15;39;1;13-15-23-24-39+1;0;2000000.0;0;149912.6;22;8477.3;304;434.1;1176;67.0;14584;19.4;16253;13.5;209485;4.1;200767;2.2;10;20000.0;G 5959 1751, G 6957 5358, N 7102 4550, L 9680 7236, F 0134 0629, A 8826 9434, R 8829 7138, Q 6865 7281, Q 6572 1096, R 4537 8439;6;9;21;34;47;6-9-21-34-47;2;51248.0;172;612.7;8368;32.3;124658;3.0;3156171
2025-03-08;Samedi;8;3;2025;18;2;10;3;11;2;2-3-10-11-18+2;2;2000000.0;6;43230.8;132;479.6;995;229.4;3857;35.3;36920;13.3;43861;8.7;433370;3.4;420015;2.2;10;20000.0;A 7782 4435, G 2834 4920, V 7883 3197, M 3272 0558, K 0052 3715, U 4763 8643, K 6665 0483, J 4986 2307, B 9668 1462, O 4761 4327;27;28;31;32;43;27-28-31-32-43;1;178740.0;218;938.5;11664;45.1;192604;3.0;4827414
2025-03-05;Mercredi;5;3;2025;47;28;7;26;30;4;7-26-28-30-47+4;0;3000000.0;0;170799.8;30;7082.9;384;391.5;1911;47.0;17377;18.6;26071;9.6;244711;4.0;321508;2.2;10;20000.0;P 3100 3703, G 5296 3842, J 7182 7595, Q 5952 9529, R 0125 1276, A 5622 7578, D 9268 0330, K 2985 8324, Q 1700 2836, F 8851 2561;6;15;33;36;38;6-15-33-36-38;0;122209.0;160;888.5;8235;44.3;128976;3.0;3800639
2025-03-03;Lundi;3;3;2025;41;13;28;6;4;1;4-6-13-28-41+1;0;2000000.0;0;149037.6;30;6180.4;408;321.5;1331;58.9;17003;16.5;18160;12.0;215180;4.0;211068;2.2;10;20000.0;Q 8299 0257, S 2511 0485, G 8066 3863, U 5858 8538, B 4719 6160, N 4029 6336, F 3982 1507, V 8160 4702, G 5053 0537, I 0224 8424;9;17;20;26;28;9-17-20-26-28;3;34128.0;402;205.5;13341;15.9;151463;3.0;1783514
2025-03-01;Samedi;1;3;2025;14;28;33;9;8;4;8-9-14-28-33+4;1;2000000.0;4;58215.0;87;653.2;559;366.7;2877;42.5;24666;17.8;39547;8.6;352005;3.8;446947;2.2;10;20000.0;M 8556 4840, W 7485 4424, U 8707 2344, R 2744 9914, C 5842 7481, G 9696 7723, L 9501 4960, V 4933 9464, B 3997 6661, B 7315 7386;2;17;26;40;41;2-17-26-40-41;2;83698.0;286;662.6;11789;41.3;182886;3.0;3916433
2025-02-26;Mercredi;26;2;2025;44;11;3;15;17;9;3-11-15-17-44+9;1;19000000.0;3;71951.2;52;1013.1;541;351.2;2868;39.5;26037;15.6;36352;8.7;333818;3.7;410716;2.2;10;20000.0;G 4514 2517, F 0907 6622, M 9263 2222, L 9452 2529, C 5076 0257, A 1155 1826, K 8740 2200, V 6258 5554, P 4647 3701, R 2503 7321;5;11;32;34;35;5-11-32-34-35;0;146639.0;194;845.4;10160;41.5;162579;3.0;8255854
2025-02-24;Lundi;24;2;2025;32;5;13;38;46;5;5-13-32-38-46+5;0;18000000.0;2;89091.0;35;1242.5;315;497.9;1917;48.8;14464;23.3;28678;9.1;222137;4.6;410440;2.2;10;20000.0;I 2068 9971, G 2617 6021, M 5518 9048, P 9805 2720, A 1656 7342, G 0266 9662, G 5914 7587, B 9540 6173, U 4818 7739, V 7213 6354;4;7;8;17;32;4-7-8-17-32;1;127938.0;268;415.9;13490;21.2;179504;3.0;8591272
2025-02-22;Samedi;22;2;2025;28;30;23;39;25;7;23-25-28-30-39+7;0;17000000.0;2;126485.1;73;845.8;504;441.8;3240;41.0;22700;21.0;52901;7.0;352486;4.1;764939;2.2;10;20000.0;W 7473 8054, A 7262 5316, B 5307 3081, Q 8150 3496, P 8291 2705, C 3986 1451, H 4272 8925, F 3533 0519, J 0957 8574, U 6910 2846;16;18;40;44;47;16-18-40-44-47;1;198873.0;306;756.3;13436;44.2;209762;3.0;8157350
2025-02-19;Mercredi;19;2;2025;42;23;16;32;28;5;16-23-28-32-42+5;0;16000000.0;2;98356.2;50;960.2;452;383.1;2304;44.9;18208;20.4;32504;8.9;254529;4.5;458999;2.2;10;20000.0;U 0259 3445, O 3637 6118, K 4111 0524, S 9729 6783, O 9528 4396, J 1117 7446, L 9852 3242, V 6262 1152, K 5612 0175, O 1229 1203;15;28;41;45;47;15-28-41-45-47;0;142308.0;228;722.7;10380;40.8;151100;3.0;2476687
2025-02-17;Lundi;17;2;2025;40;3;14;20;34;6;3-14-20-34-40+6;0;15000000.0;2;93934.6;47;975.6;318;520.0;1530;64.5;14589;24.3;22933;12.0;224636;4.8;338807;2.2;10;20000.0;C 7148 3037, T 3335 8059, Q 2700 1680, D 3810 9146, B 7389 2346, U 4839 8888, J 1192 8878, G 5874 4842, T 7660 2851, G 2611 3723;11;12;14;18;25;11-12-14-18-25;2;63543.0;413;236.0;16041;15.6;194047;3.0;9505695
2025-02-15;Samedi;15;2;2025;48;42;13;49;6;3;6-13-42-48-49+3;0;14000000.0;0;252771.4;54;5823.4;444;501.1;2505;53.0;22356;21.4;37478;9.9;330815;4.4;532906;2.2;10;20000.0;M 5045 8766, T 7689 7596, B 7650 3564, P 3744 1835, U 7782 1506, G 4454 0760, C 1990 0788, T 7809 0191, T 8028 0097, D 0436 5791;2;5;9;44;47;2-5-9-44-47;0;179623.0;331;524.6;16068;27.7;231579;3.0;5380049
2025-02-12;Mercredi;12;2;2025;1;37;41;30;23;5;1-23-30-37-41+5;0;2000000.0;1;152992.5;31;1204.5;222;606.6;1361;59.1;11289;25.6;23481;9.5;181826;4.9;366552;2.2;10;20000.0;B 8065 0079, E 4684 3472, I 1337 2693, G 2281 1064, N 5871 2364, P 7123 3418, O 2075 3872, P 4303 7434, D 4068 1039, S 9161 9066;7;12;13;27;46;7-12-13-27-46;1;116855.0;361;229.3;15515;13.7;186582;3.0;1320920
2025-02-10;Lundi;10;2;2025;39;44;12;29;2;6;2-12-29-39-44+6;1;7000000.0;1;155559.5;38;999.1;286;478.8;1413;57.9;13576;21.6;21312;10.7;203090;4.4;280367;2.2;10;20000.0;F 3563 3390, W 7404 0663, K 6067 1581, H 3551 6326, H 5291 9784, B 0598 5372, W 7407 1428, F 2040 6076, M 4141 2091, M 9581 8008;3;17;18;28;39;3-17-18-28-39;1;110718.0;238;444.1;10307;26.3;144325;3.0;9833280
2025-02-08;Samedi;8;2;2025;49;26;11;43;42;8;11-26-42-43-49+8;0;6000000.0;0;243872.4;29;10461.9;323;664.6;2045;62.7;18186;25.3;34431;10.4;295767;4.8;518299;2.2;10;20000.0;G 5069 8321, I 8943 5215, H 4843 8836, C 3134 8942, K 6930 2416, N 5282 8542, O 7352 6719, U 8419 8353, W 7393 7604, E 2413 1041;4;24;27;28;40;4-24-27-28-40;1;178686.0;326;546.2;15386;29.7;224037;3.0;1280474
2025-02-05;Mercredi;5;2;2025;14;8;24;28;5;9;5-8-14-24-28+9;0;5000000.0;12;14931.3;76;575.4;790;199.6;2625;35.9;26367;12.8;30988;8.5;299405;3.4;338443;2.2;10;20000.0;V 5245 7523, A 2853 7084, U 3384 7777, D 2663 5262, N 9922 5873, Q 8285 9630, K 3961 9732, V 2981 5424, V 5416 8342, L 3141 4324;4;13;16;28;36;4-13-16-28-36;3;42296.0;344;346.9;13015;23.5;167540;3.0;6635266
2025-02-03;Lundi;3;2;2025;29;48;32;27;44;8;27-29-32-44-48+8;0;4000000.0;1;142348.5;19;1828.6;222;564.4;1208;61.9;9935;27.1;18918;11.0;159612;5.2;294319;2.2;10;20000.0;M 3765 2679, S 4353 6751, B 0937 2000, D 1154 2506, E 1129 3370, A 8364 9198, Q 7333 2967, R 3711 8712, C 4221 7530, P 2380 5355;1;13;18;26;46;1-13-18-26-46;0;106060.0;250;394.9;10208;24.8;141285;3.0;8795334
2025-02-01;Samedi;1;2;2025;34;46;11;30;36;5;11-30-34-36-46+5;0;3000000.0;2;111143.4;46;1179.4;296;661.1;1916;61.0;15516;27.1;31124;10.5;250780;5.1;539817;2.2;10;20000.0;K 6314 0622, P 6830 9295, B 5168 0893, L 7995 7269, L 1036 4390, G 3018 1203, O 3245 3350, P 9256 7734, V 0485 2703, D 4306 0830;3;10;11;34;42;3-10-11-34-42;3;56817.0;313;539.5;14568;29.8;214895;3.0;5565138
2025-01-29;Mercredi;29;1;2025;29;41;17;27;19;2;17-19-27-29-41+2;0;2000000.0;2;86233.5;47;895.6;478;317.6;1727;52.5;17661;18.4;22898;11.0;242923;4.1;280756;2.2;10;20000.0;S 5493 6413, S 9847 8268, U 3265 2828, L 9849 0467, O 9411 1462, E 9760 9011, J 0929 4748, N 1304 5911, F 3892 4179, Q 1094 1496;25;31;38;42;43;25-31-38-42-43;3;39240.0;134;1066.6;7473;49.1;117111;3.0;3361760
2025-01-27;Lundi;27;1;2025;24;39;48;3;10;3;3-10-24-39-48+3;1;13000000.0;1;169477.6;34;1216.6;345;432.4;1939;45.9;15087;21.2;27972;8.9;222231;4.4;357963;2.2;10;20000.0;U 4098 0358, S 2465 0394, R 9356 9708, L 9899 2164, N 7190 3507, U 0700 9332, I 2689 9479, C 3758 4049, M 6735 9985, F 9694 3152;1;8;11;38;49;1-8-11-38-49;0;119869.0;276;414.5;11277;26.0;156305;3.0;6618747
2025-01-25;Samedi;25;1;2025;45;35;44;5;19;8;5-19-35-44-45+8;0;12000000.0;0;262101.3;45;7246.0;418;552.0;2415;57.0;21926;22.6;38666;9.9;329675;4.6;549602;2.2;10;20000.0;O 5888 9624, C 5584 9577, K 0893 8272, F 7940 2602, T 6472 2794, K 6904 9084, B 3888 7062, L 3717 0797, Q 8708 6807, G 6960 9315;21;29;31;33;36;21-29-31-33-36;2;93194.0;273;786.9;12910;42.7;199061;3.0;1161746
2025-01-22;Mercredi;22;1;2025;29;36;23;44;38;9;23-29-36-38-44+9;0;11000000.0;0;192348.7;34;7038.1;277;611.3;1512;66.9;14127;25.7;24815;11.4;213366;5.2;373940;2.2;10;20000.0;A 9421 7854, T 6692 1822, C 2675 1984, I 1597 3020, L 1528 1479, N 0303 8220, L 7084 9106, Q 0251 1299, S 9437 3984, E 5662 6169;2;10;27;32;39;2-10-27-32-39;0;133427.0;247;579.9;10237;35.9;155074;3.0;5686213
2025-01-20;Lundi;20;1;2025;19;28;36;40;6;2;6-19-28-36-40+2;0;10000000.0;1;175287.4;34;1258.3;355;434.6;1513;60.9;15294;21.7;21301;12.1;217886;4.6;291352;2.2;10;20000.0;W 7310 4370, K 5802 5372, M 7081 0214, F 5272 9154, Q 4393 6394, K 3265 7538, Q 1420 8388, O 2821 3767, E 6393 9590, C 1140 1165;14;19;33;39;44;14-19-33-39-44;0;117827.0;210;622.6;9000;37.3;131868;3.0;1976496
